Date/Time,COIL HEATING ELECTRIC 1:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 2:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 3:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 4:Heating Coil Electricity Rate [W](TimeStep) 
02/2801:00:00,9473.418083397037,10272.173040788974,9722.142331919698,10514.2998118511
02/2802:00:00,3329.422130680311,10299.268642292682,6333.300944470276,3570.8845234598684
02/2803:00:00,4923.306958716124,3708.410425897348,10130.014358876166,6025.531734851847
02/2804:00:00,9223.618902540356,10651.670958071873,5234.037843711942,9387.387101555149
02/2805:00:00,10511.562190461287,6832.002357262039,6414.441769012285,7596.940173837867
02/2806:00:00,10686.962639509113,4176.851255926754,3149.226629624678,2930.286691736162
02/2807:00:00,10285.24897530026,7816.728252058198,6042.41487574542,4579.2137011730665
02/2808:00:00,4419.458150702555,4698.045898204366,10299.978875175815,6709.057583075902
02/2809:00:00,6727.960128676228,9438.441287242971,10316.696663994138,3507.6485520979027
02/2810:00:00,10752.668762805331,3385.04331538545,2414.7042854038928,2802.488066201853
02/2811:00:00,4112.457207342703,6233.59860452411,3771.065311249141,2331.327981983371
02/2812:00:00,4797.571823632991,9300.541040149665,2607.1111911791454,
02/2813:00:00,3392.507858993676,9770.964380934724,9982.307757856064,
02/2814:00:00,4537.918275421151,9342.930436504112,,
02/2815:00:00,7638.257368484646,1045.356452354405,9325.523770315627,
02/2816:00:00,4859.956291342251,8728.070152360026,1059.8965797469689,772.7399252423849
02/2817:00:00,1273.068678331671,9949.985244960037,5462.7344581331845,
02/2818:00:00,4125.089695110252,2625.460183800665,2381.312062413624,
02/2819:00:00,5103.592034476032,1517.4757302530545,,
02/2820:00:00,9204.997454431048,3683.481814153921,6866.073847390879,
02/2821:00:00,8548.857558639887,7475.614431960295,3941.08257470275,9720.457713601229
02/2822:00:00,9181.72357416495,4772.667218146514,8378.451284116996,9991.879256073054
02/2823:00:00,5691.591320426026,10429.241717695662,8674.500983625192,7729.262355945485
02/2824:00:00,8979.033114976888,9629.446276243849,3783.0694565647777,5712.448625566927
