Date/Time,COIL HEATING ELECTRIC 1:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 2:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 3:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 4:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 5:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 6:Heating Coil Electricity Rate [W](TimeStep) 
02/2801:00:00,9469.995268828336,10268.69038113328,7336.099031437805,8286.875199416078,9718.763494522833,10510.82988784538
02/2802:00:00,8821.208059229746,7253.858433001937,9792.688129479036,6576.085533732044,6994.632207099974,6913.553074786654
02/2803:00:00,3438.8729944362667,3726.815655408008,4409.46673872866,10040.704171053712,10081.705697463833,8328.211368561508
02/2804:00:00,10316.267067974568,4402.651472159191,1132.6905441494011,5893.503446196534,2379.339296685926,5124.770704404214
02/2805:00:00,10343.46186657468,3109.691163917198,707.8881694025273,4052.5134840170977,5413.3354952759855,
02/2806:00:00,7388.466992975383,10275.159848748784,1606.6834972731929,2802.295249611708,5830.467253331557,7146.813939353388
02/2807:00:00,5189.239995193637,10446.227049667685,1269.4141745445038,2601.030692308953,8992.833583747022,9150.378871260657
02/2808:00:00,6529.6211307385,4228.938842256117,6508.619062685637,10559.342925447883,5650.357048362511,9971.810014693325
02/2809:00:00,6081.848226330128,7263.66737439275,2723.4353739665225,6522.806687936447,10707.710025191082,10216.443252549128
02/2810:00:00,8700.762284531462,4204.627195274996,3451.992867617113,7942.861053612335,8161.718423484043,6974.36309800633
02/2811:00:00,3331.3240219006248,2476.919276215225,3086.477493892924,1148.9490118827257,9217.550778170267,879.9237335811634
02/2812:00:00,1753.7772808009424,2505.7844308986605,409.0429452416985,2644.158676119944,10274.949142979747,6054.387365220014
02/2813:00:00,3105.529363042661,3587.9180194078463,7979.167898029623,5790.184953414261,1179.7195518841274,
02/2814:00:00,9416.755363761557,1104.550445952632,,,,
02/2815:00:00,6189.123546617372,568.0268222756697,2543.087117377367,,,
02/2816:00:00,2351.183010457581,9840.772592316658,,,,
02/2817:00:00,574.3563718629773,2539.7748522617785,9520.314883432944,,,
02/2818:00:00,2009.4358615779452,10067.803405920522,2147.4943771973226,3633.348883794921,,
02/2819:00:00,1289.5111044718344,1209.3236773783592,3395.4192978520496,,,
02/2820:00:00,6552.785597689112,4349.159159886044,1511.156833230043,1700.423408516974,1521.3868327204532,
02/2821:00:00,4778.617401121223,8118.8901759957935,6511.416662769419,6396.407647630094,3189.2222859519643,6617.501401475347
02/2822:00:00,4888.601905899266,2691.7135374266054,795.3521754237022,958.7892774884176,2749.6097306511106,10278.2176263018
02/2823:00:00,5076.932127183749,8228.112746659563,3957.407165899271,4476.950973940269,10325.399894460012,3818.903815222802
02/2824:00:00,9783.998929120584,6986.728698385254,2724.0648232783387,4330.160240839954,5537.531565216556,7489.756546067399
