Date/Time,COIL HEATING ELECTRIC 1:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 2:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 3:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 4:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 5:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 6:Heating Coil Electricity Rate [W](TimeStep) 
02/2801:00:00,8567.392731156022,7418.205165606307,8216.586596439523,8717.845503165106,7591.201116766307,8379.230580295158
02/2802:00:00,9441.651049848891,7969.744620410004,8727.80859484914,9544.497685812195,8085.470478466159,8837.689148689813
02/2803:00:00,9517.108119669116,7890.194542533092,8577.142478220932,9570.769167823471,7949.625450665063,8633.837491488222
02/2804:00:00,10164.03442581615,8368.013714310671,9060.043890430432,10198.617501904606,8407.328691065877,9097.183019514376
02/2805:00:00,9610.250205639244,7896.676857288668,8533.583680462076,9634.718203195844,7924.331754412761,8559.704099830597
02/2806:00:00,9760.141323010192,8015.478959286899,8652.80021943278,9782.263273728597,8040.588896635194,8676.501939310521
02/2807:00:00,9938.220996094253,8133.402703863886,8774.267483232492,9958.0972803391,8156.082395373502,8795.572788493264
02/2808:00:00,10257.988661817324,8342.374902986487,9002.870846495603,10274.546005092245,8361.593597817895,9020.796108773382
02/2809:00:00,8273.079880141753,6717.07761681392,7247.800509903693,8284.953824170589,6730.531368939618,7260.442421334582
02/2810:00:00,7862.734456695984,6875.991739463965,7367.953184602313,7623.620438326838,6620.86991066581,7118.318198823379
02/2811:00:00,7033.428783913943,6817.30842675832,7370.327643918674,6226.895894596509,5962.092086582666,6541.38165270118
02/2812:00:00,7643.777239460239,8578.415558406099,9492.226959382777,6187.369324005044,7028.062557325007,7993.5597693039235
02/2813:00:00,5432.009480134228,8170.950396002138,9464.806077051191,3649.6284723860326,6323.931117836714,7696.856643713234
02/2814:00:00,2867.1729428256926,7837.696447355107,9760.154906209937,982.8147344968148,5874.883103982803,7935.26165069458
02/2815:00:00,820.0628827478223,6748.987439017121,9008.77364404974,5101.07139759233,7517.985523403561,
02/2816:00:00,7169.423744655824,10022.286664388965,5515.376797247984,8539.784290636515,,
02/2817:00:00,6154.095476580245,9195.608935650343,5057.068586425679,8253.941660461442,,
02/2818:00:00,3352.8484188978846,5728.231858330825,3473.309173221848,5894.851343842179,,
02/2819:00:00,2085.653554556889,3870.9284307433736,1084.1014738904885,2888.661915580773,4638.31543836006,
02/2820:00:00,3501.980055582135,3972.4461492771206,6122.356978215132,4677.267170871319,5271.194751276971,7271.277866054314
02/2821:00:00,7981.358101567241,7228.288892485743,9126.09037540164,8841.681191180332,8168.142304958714,9966.710820672606
02/2822:00:00,8727.807191257232,7603.85034664498,8951.962764108912,9207.129793497485,8133.587748670897,9450.041691600882
02/2823:00:00,9662.285962359474,8286.079746641459,9547.012110766753,10044.595261112525,8714.619329905323,9950.099641342344
02/2824:00:00,9161.930113387809,7859.968120558068,8867.847581663393,9409.878893517933,8141.38312079863,9132.82745956973
