Date/Time,GREENHOUSE_ZONE_0_0:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_0_1:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_0_2:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_0_3:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_0_4:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_0_5:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_0_6:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_0_7:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_1_0:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_1_1:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_1_2:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_1_3:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_1_4:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_1_5:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_1_6:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_1_7:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_2_0:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_2_1:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_2_2:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_2_3:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_2_4:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_2_5:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_2_6:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_2_7:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_3_0:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_3_1:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_3_2:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_3_3:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_3_4:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_3_5:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_3_6:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_3_7:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_4_0:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_4_1:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_4_2:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_4_3:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_4_4:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_4_5:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_4_6:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_4_7:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_5_0:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_5_1:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_5_2:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_5_3:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_5_4:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_5_5:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_5_6:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_5_7:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_6_0:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_6_1:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_6_2:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_6_3:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_6_4:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_6_5:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_6_6:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_6_7:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_7_0:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_7_1:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_7_2:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_7_3:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_7_4:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_7_5:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_7_6:Zone Air Temperature [C](TimeStep),GREENHOUSE_ZONE_7_7:Zone Air Temperature [C](TimeStep)
02/2801:00:00,15.382560958301116,15.9719993759339,16.18426842829273,16.286568587613097,16.233028807798483,16.111874179721127,15.733298022195616,15.109836188405088,16.141515180353608,17.026327299470086,17.109761208644493,17.331039583191263,17.152645838533903,17.1441711370504,16.469846274526343,15.696032576968088,16.802872008055076,19.009941918598297,18.03627117052083,19.018521061648972,18.05888937637364,19.0124942323074,17.077112494661087,16.02598837845016,16.613109125637123,17.61009050796812,17.697694998425426,17.948076145603206,17.740216289525634,17.72638082414253,16.943037072967,16.07895006373771,16.608075836373374,17.607077901812403,17.69273938196938,17.944832757280032,17.73507418360974,17.723063631248117,16.937084719401028,16.072443473249443,16.788079194299705,19.009544134482923,18.02215068838722,19.01809195962656,18.0443165908183,19.012064049278536,17.059772243770805,16.00655295565175,16.10961240583382,16.993473432602073,17.072554864070295,17.29480672502926,17.114365855976473,17.109166011339315,16.434027842236013,15.663190311009949,15.3394555431016,15.922329639830965,16.130781682189365,16.2319681719458,16.17827901223887,16.05929807083288,15.683835890780166,15.068922151992966
02/2802:00:00,14.907922862107608,15.556032924423764,15.810892830743992,15.943530518731665,15.8955368569447,15.764741083883289,15.347494647114008,14.683614811233989,15.736386234870125,16.7324891949778,16.842098378165055,17.106784533129858,16.918688173207222,16.91151787251513,16.163580400049877,15.32410814490099,16.492814857581127,19.004500126773134,17.902066374373607,19.015139307592367,17.948591257568484,19.008664645447848,16.856806124165676,15.706070920599371,16.28373904023604,17.41302695763612,17.53100194360446,17.830178587546854,17.609871672974798,17.595604096928408,16.723541773416517,15.778718368977836,16.2812708866027,17.411507054169526,17.528563346899944,17.82857167622483,17.607354126362765,17.593944010628505,16.720603223379662,15.77556038862452,16.485810036232355,19.00430776545793,17.895285797374953,19.014934063971257,17.94162824954249,19.008458023103483,16.848486464282242,15.69694866062753,15.722184498608774,16.717452668483524,16.82489872894808,17.09009722760367,16.901042019803576,16.895467713368543,16.147292572347613,15.309803764485116,14.891039480248343,15.534449828020506,15.787398059345074,15.919538522329225,15.871525555020824,15.74190068667288,15.326330395496491,14.668341638599111
02/2803:00:00,14.696760517604478,15.39413898466086,15.671145885281828,15.81408125770323,15.765987366557669,15.626122761539325,15.181167050883388,14.4699117415704,15.582311884365373,16.637335581115735,16.76549784394925,17.040319411988463,16.850915359489612,16.834720013298618,16.047868944075407,15.157791761704797,16.38400710669262,19.00744425021193,17.88018787123423,19.019347987198145,17.931826782305855,19.01214961733161,16.779772021193324,15.567772047459393,16.17541977395467,17.37266962967121,17.51100112664567,17.82171874787418,17.598169957936847,17.57221775466392,16.652299933875387,15.649257974541602,16.173674593834917,17.37164564611058,17.50935621897294,17.82065367357871,17.59647487696371,17.57111187237149,16.650289623281807,15.647043623349354,16.378942245751094,19.007307893658712,17.875489198668934,19.019203500458225,17.927004871421836,19.012003918706785,16.77396361521431,15.56126146132526,15.571500125236131,16.62622882076125,16.75288405010795,17.028030045654212,16.837968304875723,16.82290818901778,16.03588276203425,15.146954484533024,14.68116848930287,15.376096292061549,15.651513374242482,15.793948130397744,15.745860486495609,15.606940796422515,15.163327411167623,14.45556994789124
02/2804:00:00,14.537949187228756,15.249200597552225,15.53669900245979,15.688428013828396,15.640851975528834,15.497681766754154,15.040262743984457,14.320770031288312,15.441179381137106,16.53132244808293,16.663525109384985,16.95306117772239,16.757545459773542,16.743337392833816,15.92957825702321,15.01962062879571,16.274505602545883,19.00531343018146,17.82422197939933,19.017810803078167,17.882033221163802,19.010405115755965,16.689522827486613,15.443765653249129,16.055639248389184,17.29460284941524,17.437738797467908,17.764926929897335,17.53390296404372,17.509652078866665,16.557277822693763,15.529387226118278,16.054429447502063,17.293899487363426,17.436586649015084,17.764193004433427,17.53271450246498,17.508890281052338,16.55587589283513,15.527857015537307,16.27090973289586,19.005216085909492,17.82083463370319,19.0177070492444,17.87855104923077,19.010301126279757,16.685389109269295,15.439195776068642,15.433238407592404,16.523092654053887,16.65414902201192,16.943872449230486,16.747895469923787,16.734583417107597,15.92083283748122,15.011852480729498,14.526360302336068,15.235826947110295,15.52193094880248,15.673100982775312,15.625563206703852,15.483328506455932,15.02730872182586,14.310617024923925
02/2805:00:00,14.420207047347231,15.164088702605987,15.466963847666896,15.6239001764656,15.575750900764096,15.424640982460271,14.94865519712528,14.200097301043112,15.36026713485336,16.4946467226689,16.641347714205992,16.935498632138277,16.738724852759898,16.716265059744913,15.876135972792309,14.928236278549786,16.22015141978976,19.00157588492372,17.836265598600797,19.01421417457406,17.895211194166365,19.006760913080264,16.661108746768413,15.36983147677612,16.006984399541082,17.297819965380494,17.458421213150796,17.79029071341634,17.55719825877199,17.52114709325738,16.535674349811867,15.462480155468285,16.006007782283557,17.297248477722167,17.457464957698885,17.789688203404403,17.556208261291463,17.520523795851606,16.53452503600174,15.46123591544337,16.217237196492256,19.00149607613733,17.833390025582815,19.01412715124028,17.89223586957697,19.006674421364966,16.657683505913425,15.366091529525288,15.353826937550696,16.487687682354757,16.633182840315904,16.92739616337621,16.730233734430374,16.70863073599307,15.868736749080652,14.921816566578038,14.411109396281816,15.152412542216672,15.453341817049065,15.609605516819029,15.561509727520932,15.4113886464542,14.937311948723735,14.19160085076402
02/2806:00:00,14.24419177389502,15.036745437771335,15.357540434559915,15.520876628419671,15.472737294149573,15.31657350922,14.822031394535063,14.029150672300808,15.233201780042592,16.425735959055267,16.586957811340877,16.889149962468462,16.69014236890147,16.664236433568185,15.79879601912222,14.802566616691534,16.121719970654734,19.00051925611618,17.81674337707325,19.01372544728424,17.878530388387855,19.00609188928762,16.609444042275296,15.263540445419672,15.90681907961256,17.260008822249116,17.435682689302983,17.77609660621459,17.540182107624286,17.500236597507115,16.486378406716693,15.361195980161307,15.905940976598414,17.25949002228809,17.43481114780286,17.775544591622662,17.539278123446834,17.499668987574633,16.485340089039127,15.360075157498986,16.119117187437578,19.000446761955203,17.81413521273343,19.0136459744268,17.87582863479905,19.006013088278536,16.606352661927644,15.260170284351302,15.227507749041624,16.419475281221565,16.57961206886881,16.881872371514767,16.682510023263692,16.657367486737705,15.792118020396408,14.796758994822198,14.236238009577054,15.026139474670378,15.345428236447528,15.508256902187384,15.460154661277592,15.304784162466085,14.811733375348064,14.0212898895023
02/2807:00:00,14.174333660968369,14.977826305808913,15.30661251915734,15.475073473033842,15.426763501493143,15.266778282694824,14.761683003647148,13.95585355584394,15.17581180452004,16.37925470642169,16.543916834468778,16.85299544698585,16.65125363623613,16.624377383324333,15.744166244337954,14.740195493508532,16.082149933044036,18.99960168531593,17.794110169124508,19.01310065954693,17.8586735673048,19.00533448151881,16.568783043585388,15.21144798444334,15.864666314971268,17.228929119522395,17.406886235242006,17.754399258551302,17.515132322124213,17.474539418219685,16.444847891363086,15.312650470267686,15.863816280647509,17.22845656223584,17.406072851304184,17.753901261510432,17.514291240160812,17.474023165457076,16.44385008186213,15.311554000238216,16.079405144694938,18.99952934092112,17.79152269849136,19.01302355663502,17.856012338996646,19.005257136160804,16.56560254838078,15.20788834532214,15.16874987300008,16.372070355987937,16.53594401329125,16.845186942424817,16.643087603755745,16.616822777157033,15.73645429407489,14.73285275257858,14.160464261424996,14.963452259555208,15.291583529007664,15.45978784761328,15.411489485352662,15.251971878310425,14.74740463633798,13.941687850935343
02/2808:00:00,14.048705124242291,14.87161105291529,15.209445466291474,15.38366746841296,15.335129487472177,15.171395790227466,14.654587758406148,13.830580349419332,15.072361890550988,16.308649458581385,16.478385106687966,16.796912273199393,16.5910991830255,16.563584761982135,15.662366032377465,14.633428787600383,16.001192375041533,18.998227169653795,17.760409378968554,19.012176600908447,17.82885625441653,19.00422366551503,16.507569122192585,15.116505948878556,15.778310293106658,17.180047397919598,17.363839014854435,17.722030771054943,17.477842611203375,17.436281772477535,16.381683100207326,15.2210983075689,15.77749984160894,17.17962781102112,17.363104356030714,17.72159699809337,17.477085273874838,17.435822827572977,16.380735105286288,15.220034392515888,15.998416559982877,18.99815707055312,17.75795423581169,19.01210446952665,17.82634994873036,19.00414999597773,16.50441407817749,15.112905937026268,15.06477101572345,16.301242603680656,16.470452710952337,16.789226366432274,16.583066801613903,16.556015255562833,15.654413500740594,14.625610615443854,14.033067079090008,14.856591043957286,15.194267206208332,15.368419149351368,15.319876341485712,15.156390971584113,14.639672220775696,13.815116788549386
02/2809:00:00,15.047237028149082,15.446920838148037,15.644520595560367,15.77270442240594,15.715324477127274,15.56043503236562,15.106732031340286,14.49072058669922,15.879797906457569,16.665102214968105,16.724404808941312,16.987164107863745,16.786801685692552,16.755285972449162,15.9320900049922,15.090448792041236,16.715062159639913,19.008610922429863,17.885698979339463,19.01902192899201,17.931111711803794,19.01083369990185,16.69924075133689,15.509714941618324,16.530768333060905,17.46976741519335,17.549298638935973,17.84986638456106,17.612575214094328,17.560105802094718,16.58164209717387,15.605137306696625,16.541775121585157,17.473279577649986,17.559319735226335,17.853292335462847,17.622767039369567,17.564149281351504,16.595602483147218,15.620028666126307,16.772570166921852,19.010087462397227,17.939703425496226,19.020515888371584,17.985585686501775,19.01237547061993,16.766426282162893,15.580188405692288,16.114759238172415,16.9059158316854,16.978031333216993,17.235098510078416,17.04232752872618,17.001476746071102,16.182502431417305,15.321059712136652,15.71157147476601,16.12610200495821,16.33234172460419,16.462347725194427,16.405771279764124,16.246068893747207,15.783695319663488,15.13888187555562
02/2810:00:00,15.992880404325817,16.089980769841752,16.125870409595148,16.17283881030677,16.094758871699664,15.965318037656337,15.596883790999106,15.131838092513044,16.65922910114125,17.079645183995183,17.008450584746175,17.19056322902636,16.98172550391284,16.969766383325066,16.26061215331939,15.585652863095524,17.351772831767107,19.01622776023002,17.99724673993605,19.02108170118751,17.989993108647937,19.01357286826116,16.92432982462167,15.92894804572868,17.215372846724552,17.755910232688166,17.70388394432061,17.919343307620696,17.680174997466917,17.650212303692417,16.8077083612994,16.015155504382875,17.262143032610826,17.77604996081358,17.742382270534417,17.938546180194514,17.719246121631542,17.671736775182396,16.861076574378718,16.07670114770325,17.529696104720145,19.020685022831454,18.14864311467171,19.025534659223563,18.14287540071729,19.018199523393157,17.12151925297415,16.153577820916198,17.184441770791153,17.602544708874596,17.56561023028995,17.73086952587865,17.543637069545788,17.50457483243597,16.815341482871297,16.11610153467903,17.0898440365612,17.231511381414798,17.2923079893981,17.34365282231518,17.26832158644129,17.125933564663136,16.740053108246215,16.21917809591293
