Date/Time,COIL HEATING ELECTRIC 1:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 2:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 3:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 4:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 5:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 6:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 7:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 8:Heating Coil Electricity Rate [W](TimeStep) 
02/2801:00:00,7708.197179628426,6673.591197635723,7391.721183413559,10257.144728043771,7843.568325306747,6829.265419403818,7538.093629437415,10369.246919890318
02/2802:00:00,7724.176027852467,6519.707541028009,7139.48161132086,10322.933570231313,7808.311426349511,6614.384730500658,7229.380531530091,10395.57700143238
02/2803:00:00,7929.489650343927,6573.516521261059,7145.682303448375,10316.382647000228,7974.212431897655,6623.054066059036,7192.942470629805,10354.83307677384
02/2804:00:00,7817.036217090096,6435.347351007238,6967.415235158911,10092.90612262754,7843.644192641936,6465.600158600479,6995.995942627885,10114.604326968789
02/2805:00:00,8130.365249204607,6680.309939449512,7218.9791169070595,10417.538956307171,8151.075421799677,6703.7213500588905,7241.093977429159,10434.32739429278
02/2806:00:00,8257.546362474053,6781.218149703354,7320.203716661148,10598.680032134347,8276.288238419862,6802.493468350031,7340.291285108828,10613.788623318746
02/2807:00:00,7806.761765903608,6388.5741582690325,6891.889634906261,10078.005650756477,7822.38475810074,6406.40240960291,6908.63769924496,10090.439831579164
02/2808:00:00,8057.871392847342,6552.614127166671,7071.39372817736,10337.399376582063,8070.87852937052,6567.713588396365,7085.474932337148,10347.924619304422
02/2809:00:00,8271.095360587555,6714.840641077681,7245.42702542598,10584.969732802238,8282.964448188653,6728.297475840795,7258.07189066282,10595.19585662136
02/2810:00:00,7860.725681770466,6873.769329866127,7365.613073212477,9906.795026916145,7621.626606130533,6618.667107858597,7116.002642913081,9706.611602231467
02/2811:00:00,7031.811805360027,6815.521060501734,7368.390887237311,9427.423708481674,6225.289636182169,5960.317575324442,6539.471426735635,8717.039415001676
02/2812:00:00,6251.67088169004,7016.112836566021,7763.577565631148,9577.603050042866,5060.1707212805295,5747.778596831553,6537.553888429666,8515.810186305669
02/2813:00:00,4826.550918618881,7260.791847601527,8410.577798326438,10189.02514475433,3242.241195328038,5619.067452618429,6839.169234001547,8814.519206640023
02/2814:00:00,2507.257302688419,6856.087957039546,8537.96386132455,10125.997153267042,858.4681312958645,5138.659494467252,6941.255931485217,8726.168436969729
02/2815:00:00,716.1758618714377,5903.571489791143,7880.656459607133,9271.82921951687,4461.661540720172,6576.27218715691,8155.388154318367,
02/2816:00:00,6143.464757678066,8588.564827777027,10020.243101984554,4725.707649676081,7317.879563897625,8981.16107767388,,
02/2817:00:00,5273.028234337999,7879.838000426633,9352.066060324698,4332.711371490128,7072.709619284569,8757.401983622343,,
02/2818:00:00,3351.2130775251585,5726.475164318361,7521.82991336128,3471.627614400516,5893.0603537685765,7728.943392593722,,
02/2819:00:00,2083.7578788350006,3868.8650366896336,5962.040919048644,1082.5525805999762,2886.705240382093,4636.258517619348,6604.203969193585,
02/2820:00:00,3062.820218279041,3474.024907761398,5354.988666177929,8948.560132577417,4091.131291429293,4610.384304587535,6360.260860376055,9761.378694655376
02/2821:00:00,5319.054467527596,4816.765963217734,6081.801626642226,9521.80250550587,5892.534033981408,5443.262271731677,6642.100276310503,9982.069386487869
02/2822:00:00,6107.044909847571,5320.075073158541,6263.5912930555205,9505.670381662936,6442.5215653578125,5690.819869577183,6612.163233869752,9787.815908063048
02/2823:00:00,6761.027493591088,5797.465814739736,6679.961968871179,9958.649949868022,7028.582327250742,6097.366917716974,6962.03213367147,10180.83536749427
02/2824:00:00,7327.296212728888,6285.492532089459,7091.645747039102,10143.549087655065,7525.598031774432,6510.549597663361,7303.541270047048,10309.654782355305
