Date/Time,COIL HEATING ELECTRIC 1:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 2:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 3:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 4:Heating Coil Electricity Rate [W](TimeStep) 
02/2801:00:00,7721.001345263705,8219.816684849866,7886.756765950566,8382.466281273504
02/2802:00:00,9713.853978182844,10189.11283148574,9833.38461347207,10299.821236220614
02/2803:00:00,9957.856919179032,9971.122259319516,9801.062143397829,9853.350211507512
02/2804:00:00,10145.342077647074,10384.781040356234,10183.478669980836,10418.722446207126
02/2805:00:00,10033.191251943668,10038.814197242697,9927.772838169094,9958.236464735968
02/2806:00:00,10094.858259108,10273.774711194412,10119.67394659472,10295.972388674483
02/2807:00:00,10456.718674170614,10461.227323646111,10363.928429741702,10390.267743892013
02/2808:00:00,10117.880970613509,10263.04300085778,10145.807241258652,10291.11366106059
02/2809:00:00,10180.51523984647,10183.625994251635,10109.17928811406,10128.240697333413
02/2810:00:00,9677.64463976877,9000.616887475484,9338.74376395551,10529.057729654402
02/2811:00:00,9057.207779781334,8854.072078639436,8721.775814709288,8520.399558764953
02/2812:00:00,8462.105819044125,8804.659099877379,9334.48285671772,10077.740005503629
02/2813:00:00,10192.987499279654,9722.826900417933,9300.76259334825,8818.28283349181
02/2814:00:00,8444.13123669782,8986.818954470164,9504.618257849206,10029.092133266726
02/2815:00:00,10136.470449375616,9712.278064408112,9323.443232441205,9012.266980644035
02/2816:00:00,8213.80175675831,7867.97872415108,8480.671962526649,8972.874364269886
02/2817:00:00,8964.429534619814,8759.831641091541,8697.343641964753,8910.449452504205
02/2818:00:00,6774.212262393469,6550.393579863628,7524.112394460213,6667.002271976448
02/2819:00:00,6422.669180165603,6607.531986562113,6968.891698451851,7771.692947371181
02/2820:00:00,7232.302608563172,9205.27585286566,8186.212735362989,7520.327808279451
02/2821:00:00,8170.214840965961,8949.24719066635,8829.47030832709,10450.08299005403
02/2822:00:00,8600.707013628406,9906.673474269808,8546.858189681401,9148.77774183758
02/2823:00:00,7834.613543578464,8563.968814139429,8482.057517075724,9886.192349873814
02/2824:00:00,9444.13606705509,10361.728566522084,9120.871223078348,9675.33404645684
