Date/Time,COIL HEATING ELECTRIC 1:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 2:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 3:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 4:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 5:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 6:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 7:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 8:Heating Coil Electricity Rate [W](TimeStep) 
02/2801:00:00,9467.715469910723,10266.354062256623,7333.488818040744,8284.238990670683,7716.782576847085,8643.440050774854,9716.163659420185,10508.212005864749
02/2802:00:00,9841.350380055384,9572.510221056717,9657.877921647116,10098.190400972437,10031.704819729555,9768.247923952931,9852.56906784628,10285.759737698383
02/2803:00:00,10101.077305482986,10412.56628676906,8614.00994338358,8968.870201427075,8662.917666874127,9014.857047652877,10155.325602747009,10461.035909804796
02/2804:00:00,9882.791547800109,9544.458683774676,9581.288168023646,9994.721651672327,9943.43527754587,9607.02354170124,9643.314821861057,10053.85785577613
02/2805:00:00,10486.946118846326,10696.371903566816,8981.526521079677,9216.404845329324,9005.201713107923,9238.27123166112,10518.44441923852,10723.715516239765
02/2806:00:00,10429.058389542177,10059.726642007949,10088.510356442512,10517.774237796904,10474.835157429325,10107.36331598202,10135.74923859238,10562.28260659435
02/2807:00:00,10434.35867369603,10596.062126456583,8864.802478319843,9048.226216456376,8882.062841576935,9064.271962451914,10455.67556928812,10616.227328136723
02/2808:00:00,10200.21064740501,9824.08770176828,9846.064499452434,10267.398810520292,10240.023707754835,9865.346509120243,9887.049855440746,10306.494406779137
02/2809:00:00,10371.753850910987,10507.93490101729,8849.90617059273,8995.215726486735,8866.277104719089,9011.348362315624,10403.782274957222,10539.76499795318
02/2810:00:00,9724.518813892071,9453.735719338549,9490.835151274416,9869.827130971977,7827.441272602172,7870.598664255123,9542.128928717557,9497.952121089023
02/2811:00:00,8440.276246553596,10325.146749155238,7356.104350034909,9359.385754613952,6697.1731314652025,6321.645011697976,7910.447951585444,7414.0584943704625
02/2812:00:00,8730.454838973657,8982.921191906473,9229.107591103417,9602.933472799436,7813.156060531516,8088.998845953671,9161.785100023511,8845.838075341528
02/2813:00:00,9715.794610119725,10398.491896458116,8855.528001696952,9710.226445900567,8238.99075044214,9171.619502295664,7317.988968321692,6342.928766153388
02/2814:00:00,7262.786595198651,8674.211345441925,9497.746653822778,7657.779280631192,8556.096884089966,7457.903581484202,8268.441214945939,9204.330932266208
02/2815:00:00,9492.957746852471,9975.989261443465,9072.269141007742,9696.390906349128,8573.14617168868,9273.052749211838,7884.522857257806,7822.98803343741
02/2816:00:00,8097.470496934997,7660.104566213327,8510.730936973237,9276.412140642293,7318.539976958306,8184.23081314844,7146.194669903242,7248.781206785792
02/2817:00:00,7065.10568624848,7610.947315955183,8298.485633097886,8947.018126376173,8644.296801380311,9353.184652909931,8696.253373265594,8909.470558468978
02/2818:00:00,5909.443238725412,6769.5991563363,7746.006461536848,5893.916972839733,6751.727900622163,6071.572935184878,5784.230574384793,6665.284030123868
02/2819:00:00,5102.541246903337,4318.54605572382,5536.506434901245,4766.330630473382,5963.571986813855,6967.336148249731,6699.218130087847,7770.261851795744
02/2820:00:00,6348.72276984845,9312.656935909408,6158.630179680252,8456.867915967157,7386.524301636675,7338.786108020091,7771.221767699507,8411.211954702312
02/2821:00:00,6867.652434009756,7846.198284726977,9595.746189313886,8324.235013624118,7790.992920137614,8947.084628418505,8827.387330810016,10448.101522036808
02/2822:00:00,9380.699462425322,7963.60246813428,7691.526049410569,8133.29595874887,9978.167742670144,8656.551675265928,8116.375862998159,8010.042599248435
02/2823:00:00,8062.234832503143,9544.833919614675,8285.718658587688,7661.3954568523,7832.352492236647,8561.894039127768,8480.080159096093,9884.268417005069
02/2824:00:00,10300.908760561624,9058.751571417157,8420.845969942502,8825.29716187012,9058.506372058942,10552.98950758294,9379.654367959229,8775.29902160511
